"event","top_inning","batter_name","date"
"Flyout","Y","Ryan Sweeney","2012-06-01"
"Strikeout","Y","Mike Aviles","2012-06-01"
"Groundout","N","Yunel Escobar","2012-06-01"
"Single","N","Jose Bautista","2012-06-01"
"Single","N","Edwin Encarnacion","2012-06-01"
"Pop Out","N","Colby Rasmus","2012-06-01"
"Flyout","N","Brett Lawrie","2012-06-01"
"Single","Y","Nick Punto","2012-06-01"
"Strikeout","Y","Scott Podsednik","2012-06-01"
"Double","Y","Daniel Nava","2012-06-01"
"Strikeout","Y","Adrian Gonzalez","2012-06-01"
"Flyout","N","J.P. Arencibia","2012-06-01"
"Flyout","N","David Cooper","2012-06-01"
"Single","N","Rajai Davis","2012-06-01"
"Strikeout","N","Kelly Johnson","2012-06-01"
"Single","Y","Tony Campana","2012-06-01"
"Strikeout","Y","Starlin Castro","2012-06-01"
"Strikeout","Y","Joe Mather","2012-06-01"
"Hit By Pitch","Y","Alfonso Soriano","2012-06-01"
"Strikeout","Y","Reed Johnson","2012-06-01"
"Walk","N","Gregor Blanco","2012-06-01"
"Double","N","Ryan Theriot","2012-06-01"
"Single","N","Melky Cabrera","2012-06-01"
"Sac Fly","N","Buster Posey","2012-06-01"
"Groundout","N","Angel Pagan","2012-06-01"
"Groundout","N","Brett Pill","2012-06-01"
"Single","Y","Jeff Baker","2012-06-01"
"Single","Y","Darwin Barney","2012-06-01"
"Grounded Into DP","Y","Steve Clevenger","2012-06-01"
"Strikeout","Y","Paul Maholm","2012-06-01"
"Strikeout","N","Joaquin Arias","2012-06-01"
"Single","N","Brandon Crawford","2012-06-01"
"Sac Bunt","N","Madison Bumgarner","2012-06-01"
"Groundout","N","Gregor Blanco","2012-06-01"
"Strikeout","Y","Tony Campana","2012-06-01"
"Single","Y","Starlin Castro","2012-06-01"
"Groundout","Y","Joe Mather","2012-06-01"
"Single","N","Ryan Theriot","2012-06-01"
"Triple","N","Melky Cabrera","2012-06-01"
"Single","N","Buster Posey","2012-06-01"
"Single","N","Angel Pagan","2012-06-01"
"Grounded Into DP","N","Brett Pill","2012-06-01"
"Groundout","N","Joaquin Arias","2012-06-01"
"Strikeout","Y","Alfonso Soriano","2012-06-01"
"Strikeout","Y","Reed Johnson","2012-06-01"
"Lineout","Y","Jeff Baker","2012-06-01"
"Groundout","N","Brandon Crawford","2012-06-01"
"Strikeout","N","Madison Bumgarner","2012-06-01"
"Strikeout","N","Gregor Blanco","2012-06-01"
"Single","Y","Darwin Barney","2012-06-01"
"Grounded Into DP","Y","Steve Clevenger","2012-06-01"
"Strikeout","Y","Paul Maholm","2012-06-01"
"Walk","N","Ryan Theriot","2012-06-01"
"Grounded Into DP","N","Melky Cabrera","2012-06-01"
"Groundout","N","Buster Posey","2012-06-01"
"Bunt Groundout","Y","Tony Campana","2012-06-01"
"Strikeout","Y","Starlin Castro","2012-06-01"
"Pop Out","Y","Joe Mather","2012-06-01"
"Strikeout","N","Angel Pagan","2012-06-01"
"Single","N","Brett Pill","2012-06-01"
"Groundout","N","Joaquin Arias","2012-06-01"
"Intent Walk","N","Brandon Crawford","2012-06-01"
"Pop Out","N","Madison Bumgarner","2012-06-01"
